Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
registrasi,Chrome 128.0.0.0,,,19-09-2024 05:14:49,19-09-2024 05:16:02,1m - 13.159s,PASSED
,,,,,,,
Test Cases/TC User/Registrasi,Chrome 128.0.0.0,,,19-09-2024 05:14:50,19-09-2024 05:15:10,20.535s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,19-09-2024 05:14:50,19-09-2024 05:14:53,2.720s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,19-09-2024 05:14:53,19-09-2024 05:14:57,4.268s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,19-09-2024 05:14:57,19-09-2024 05:14:58,0.628s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,19-09-2024 05:14:58,19-09-2024 05:14:58,0.482s,PASSED
"click(findTestObject(""Object Repository/Register/span_Account""))",Chrome 128.0.0.0,,,19-09-2024 05:14:58,19-09-2024 05:14:59,0.410s,PASSED
"click(findTestObject(""Object Repository/Register/span_Login""))",Chrome 128.0.0.0,,,19-09-2024 05:14:59,19-09-2024 05:14:59,0.588s,PASSED
"click(findTestObject(""Object Repository/Register/a_Registrasi Btn""))",Chrome 128.0.0.0,,,19-09-2024 05:14:59,19-09-2024 05:15:02,3.070s,PASSED
"click(findTestObject(""Object Repository/Register/div_Email""))",Chrome 128.0.0.0,,,19-09-2024 05:15:02,19-09-2024 05:15:03,0.593s,PASSED
"setText(findTestObject(""Object Repository/Register/input_User Registration_emailControl""), email)",Chrome 128.0.0.0,,,19-09-2024 05:15:03,19-09-2024 05:15:04,0.760s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Email_passwordControl""), password)",Chrome 128.0.0.0,,,19-09-2024 05:15:04,19-09-2024 05:15:04,0.594s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Password must be 5-40 characters long_eeca64""), repassword)",Chrome 128.0.0.0,,,19-09-2024 05:15:04,19-09-2024 05:15:05,0.478s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/span_Repeat Password_mat-slide-toggle-bar""))",Chrome 128.0.0.0,,,19-09-2024 05:15:05,19-09-2024 05:15:05,0.357s,PASSED
if (passworddetail == true),Chrome 128.0.0.0,,,19-09-2024 05:15:05,19-09-2024 05:15:05,0.005s,PASSED
if (passworddetail == true),Chrome 128.0.0.0,,,19-09-2024 05:15:05,19-09-2024 05:15:05,0.002s,PASSED
else,Chrome 128.0.0.0,,,19-09-2024 05:15:05,19-09-2024 05:15:06,0.770s,PASSED
"click(findTestObject(""Register/div_Security Question""))",Chrome 128.0.0.0,,,19-09-2024 05:15:06,19-09-2024 05:15:06,0.389s,PASSED
"click(findTestObject(""Register/span_Your eldest siblings middle name""))",Chrome 128.0.0.0,,,19-09-2024 05:15:06,19-09-2024 05:15:07,0.471s,PASSED
"setText(findTestObject(""Object Repository/Register/input_This cannot be changed later_security_f37fc9""), answer)",Chrome 128.0.0.0,,,19-09-2024 05:15:07,19-09-2024 05:15:08,0.836s,PASSED
"click(findTestObject(""Object Repository/Register/button_Register""))",Chrome 128.0.0.0,,,19-09-2024 05:15:08,19-09-2024 05:15:08,0.316s,PASSED
"verifyElementPresent(findTestObject(""Login/h1_Login""), 0)",Chrome 128.0.0.0,,,19-09-2024 05:15:08,19-09-2024 05:15:10,1.729s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,19-09-2024 05:15:10,19-09-2024 05:15:10,0.367s,PASSED
,,,,,,,
Test Cases/TC User/Registrasi,Chrome 128.0.0.0,,,19-09-2024 05:15:10,19-09-2024 05:15:27,16.497s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,19-09-2024 05:15:10,19-09-2024 05:15:12,1.225s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,19-09-2024 05:15:12,19-09-2024 05:15:17,5.319s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,19-09-2024 05:15:17,19-09-2024 05:15:17,0.552s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,19-09-2024 05:15:17,19-09-2024 05:15:18,0.574s,PASSED
"click(findTestObject(""Object Repository/Register/span_Account""))",Chrome 128.0.0.0,,,19-09-2024 05:15:18,19-09-2024 05:15:18,0.319s,PASSED
"click(findTestObject(""Object Repository/Register/span_Login""))",Chrome 128.0.0.0,,,19-09-2024 05:15:18,19-09-2024 05:15:19,0.568s,PASSED
"click(findTestObject(""Object Repository/Register/a_Registrasi Btn""))",Chrome 128.0.0.0,,,19-09-2024 05:15:19,19-09-2024 05:15:20,1.558s,PASSED
"click(findTestObject(""Object Repository/Register/div_Email""))",Chrome 128.0.0.0,,,19-09-2024 05:15:20,19-09-2024 05:15:21,0.555s,PASSED
"setText(findTestObject(""Object Repository/Register/input_User Registration_emailControl""), email)",Chrome 128.0.0.0,,,19-09-2024 05:15:21,19-09-2024 05:15:22,0.729s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Email_passwordControl""), password)",Chrome 128.0.0.0,,,19-09-2024 05:15:22,19-09-2024 05:15:22,0.529s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Password must be 5-40 characters long_eeca64""), repassword)",Chrome 128.0.0.0,,,19-09-2024 05:15:22,19-09-2024 05:15:23,0.471s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/span_Repeat Password_mat-slide-toggle-bar""))",Chrome 128.0.0.0,,,19-09-2024 05:15:23,19-09-2024 05:15:23,0.272s,PASSED
if (passworddetail == true),Chrome 128.0.0.0,,,19-09-2024 05:15:23,19-09-2024 05:15:23,0.001s,PASSED
if (passworddetail == true),Chrome 128.0.0.0,,,19-09-2024 05:15:23,19-09-2024 05:15:23,0.000s,PASSED
else,Chrome 128.0.0.0,,,19-09-2024 05:15:23,19-09-2024 05:15:23,0.272s,PASSED
"click(findTestObject(""Register/div_Security Question""))",Chrome 128.0.0.0,,,19-09-2024 05:15:23,19-09-2024 05:15:24,0.318s,PASSED
"click(findTestObject(""Register/span_Your eldest siblings middle name""))",Chrome 128.0.0.0,,,19-09-2024 05:15:24,19-09-2024 05:15:24,0.522s,PASSED
"setText(findTestObject(""Object Repository/Register/input_This cannot be changed later_security_f37fc9""), answer)",Chrome 128.0.0.0,,,19-09-2024 05:15:24,19-09-2024 05:15:25,0.897s,PASSED
"click(findTestObject(""Object Repository/Register/button_Register""))",Chrome 128.0.0.0,,,19-09-2024 05:15:25,19-09-2024 05:15:25,0.310s,PASSED
"verifyElementPresent(findTestObject(""Login/h1_Login""), 0)",Chrome 128.0.0.0,,,19-09-2024 05:15:25,19-09-2024 05:15:26,1.128s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,19-09-2024 05:15:26,19-09-2024 05:15:27,0.256s,PASSED
,,,,,,,
Test Cases/TC User/Registrasi,Chrome 128.0.0.0,,,19-09-2024 05:15:27,19-09-2024 05:15:45,17.798s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,19-09-2024 05:15:27,19-09-2024 05:15:28,1.334s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,19-09-2024 05:15:28,19-09-2024 05:15:34,5.984s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,19-09-2024 05:15:34,19-09-2024 05:15:35,0.544s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,19-09-2024 05:15:35,19-09-2024 05:15:35,0.555s,PASSED
"click(findTestObject(""Object Repository/Register/span_Account""))",Chrome 128.0.0.0,,,19-09-2024 05:15:35,19-09-2024 05:15:36,0.313s,PASSED
"click(findTestObject(""Object Repository/Register/span_Login""))",Chrome 128.0.0.0,,,19-09-2024 05:15:36,19-09-2024 05:15:36,0.572s,PASSED
"click(findTestObject(""Object Repository/Register/a_Registrasi Btn""))",Chrome 128.0.0.0,,,19-09-2024 05:15:36,19-09-2024 05:15:38,1.580s,PASSED
"click(findTestObject(""Object Repository/Register/div_Email""))",Chrome 128.0.0.0,,,19-09-2024 05:15:38,19-09-2024 05:15:38,0.550s,PASSED
"setText(findTestObject(""Object Repository/Register/input_User Registration_emailControl""), email)",Chrome 128.0.0.0,,,19-09-2024 05:15:38,19-09-2024 05:15:39,0.713s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/input_Email_passwordControl""), password)",Chrome 128.0.0.0,,,19-09-2024 05:15:39,19-09-2024 05:15:39,0.357s,PASSED
