Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Order,Chrome 128.0.0.0,,,15-09-2024 11:57:14,15-09-2024 11:58:46,1m - 31.971s,PASSED
,,,,,,,
Test Cases/TC User/Login,Chrome 128.0.0.0,,,15-09-2024 11:57:15,15-09-2024 11:57:28,13.510s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 11:57:15,15-09-2024 11:57:18,2.883s,PASSED
navigateToUrl(siteURL),Chrome 128.0.0.0,,,15-09-2024 11:57:18,15-09-2024 11:57:24,5.396s,PASSED
"click(findTestObject(""Language/button_Dismiss""))",Chrome 128.0.0.0,,,15-09-2024 11:57:24,15-09-2024 11:57:24,0.648s,PASSED
"click(findTestObject(""Language/a_cookies btn""))",Chrome 128.0.0.0,,,15-09-2024 11:57:24,15-09-2024 11:57:25,0.490s,PASSED
"click(findTestObject(""Object Repository/Login/button_account""))",Chrome 128.0.0.0,,,15-09-2024 11:57:25,15-09-2024 11:57:25,0.366s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login Menu""))",Chrome 128.0.0.0,,,15-09-2024 11:57:25,15-09-2024 11:57:26,0.590s,PASSED
"click(findTestObject(""Object Repository/Login/div_Input Email""))",Chrome 128.0.0.0,,,15-09-2024 11:57:26,15-09-2024 11:57:26,0.686s,PASSED
"setText(findTestObject(""Object Repository/Login/input_Login_email""), username)",Chrome 128.0.0.0,,,15-09-2024 11:57:26,15-09-2024 11:57:27,0.771s,PASSED
"click(findTestObject(""Object Repository/Login/div_Password""))",Chrome 128.0.0.0,,,15-09-2024 11:57:27,15-09-2024 11:57:27,0.374s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password""), password)",Chrome 128.0.0.0,,,15-09-2024 11:57:27,15-09-2024 11:57:28,0.459s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 128.0.0.0,,,15-09-2024 11:57:28,15-09-2024 11:57:28,0.313s,PASSED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,15-09-2024 11:57:28,15-09-2024 11:57:34,5.629s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 11:57:29,15-09-2024 11:57:30,0.921s,PASSED
"setText(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), buah)",Chrome 128.0.0.0,,,15-09-2024 11:57:30,15-09-2024 11:57:31,1.059s,PASSED
"sendKeys(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 11:57:31,15-09-2024 11:57:31,0.369s,PASSED
"click(findTestObject(""Object Repository/Cart/button_Add to Basket""))",Chrome 128.0.0.0,,,15-09-2024 11:57:31,15-09-2024 11:57:31,0.546s,PASSED
"doubleClick(findTestObject(""Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 11:57:31,15-09-2024 11:57:34,2.402s,PASSED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,15-09-2024 11:57:34,15-09-2024 11:58:11,36.716s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 11:57:34,15-09-2024 11:57:34,0.438s,PASSED
"setText(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), buah)",Chrome 128.0.0.0,,,15-09-2024 11:57:34,15-09-2024 11:57:35,0.868s,PASSED
"sendKeys(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 11:57:35,15-09-2024 11:57:36,0.331s,PASSED
"click(findTestObject(""Object Repository/Cart/button_Add to Basket""))",Chrome 128.0.0.0,,,15-09-2024 11:57:36,15-09-2024 11:58:07,31.553s,PASSED
"doubleClick(findTestObject(""Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 11:58:07,15-09-2024 11:58:11,3.482s,PASSED
,,,,,,,
Test Cases/TC User/Add to cart,Chrome 128.0.0.0,,,15-09-2024 11:58:11,15-09-2024 11:58:46,35.685s,PASSED
"click(findTestObject(""Object Repository/Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 11:58:11,15-09-2024 11:58:11,0.448s,PASSED
"setText(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), buah)",Chrome 128.0.0.0,,,15-09-2024 11:58:11,15-09-2024 11:58:12,0.864s,PASSED
"sendKeys(findTestObject(""Search/input_OWASP Juice Shop_mat-input-0""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,15-09-2024 11:58:12,15-09-2024 11:58:12,0.336s,PASSED
"click(findTestObject(""Object Repository/Cart/button_Add to Basket""))",Chrome 128.0.0.0,,,15-09-2024 11:58:12,15-09-2024 11:58:44,31.371s,PASSED
"doubleClick(findTestObject(""Search/mat-icon_search""))",Chrome 128.0.0.0,,,15-09-2024 11:58:44,15-09-2024 11:58:46,2.594s,PASSED
